name,lat,lng
GUNDIBAILU,13.3591752,74.7620782
HALSINKATTE,13.172826,74.839702
HALSINKATTE,13.172826,74.839702
HANDADY ,13.4497975,74.7473245
KUNDAPUR,13.623777,74.691611
HATTIANGADI,13.6521944,74.7307807
HATTIKUDRU,13.6424381,74.7322438
HAVANJE ,13.3843976,74.8097703
HEBRI,13.4587597,74.992472
HEBRI,13.4587597,74.992472
HEBRI,13.4587597,74.992472
HEBRI,13.4587597,74.992472
HEBRI,13.4587597,74.992472
HEBRI,13.4587597,74.992472
HEBRI,13.4587597,74.992472
HEBRI,13.4587597,74.992472
HEBRI,13.4587597,74.992472
HEBRI,13.4587597,74.992472
HEBRI,13.4587597,74.992472
HEBRI,13.4587597,74.992472
HEBRI,13.4587597,74.992472
HEBRI,13.4587597,74.992472
HEBRI,13.4587597,74.992472
HEBRI,13.4587597,74.992472
HEBRI,13.4587597,74.992472
HEBRI,13.4587597,74.992472
HEBRI,13.4587597,74.992472
HEBRI,13.4587597,74.992472
HEBRI,13.4587597,74.992472
HEBRI,13.4587597,74.992472
HEBRI,13.4587597,74.992472
HEBRI,13.4587597,74.992472
HEBRI,13.4587597,74.992472
HESKUNDA,13.517873,74.884959
HIRIADIKA,13.3512744,74.8653331
HIRIADIKA,13.3512744,74.8653331
HIRIADKA,13.3512744,74.8653331
HIRIADKA,13.3512744,74.8653331
HIRIADKA,13.3512744,74.8653331
HIRIADKA,13.3512744,74.8653331
HIRIADKA,13.3512744,74.8653331
HIRIADKA,13.3512744,74.8653331
HIRIADKA,13.3512744,74.8653331
HIRIADKA,13.3512744,74.8653331
HOSANGADI,13.6990352,74.9632534
HOSANGADI,13.6990352,74.9632534
HOSANGADI,13.6990352,74.9632534
HOSANGADI,13.6990352,74.9632534
HUDCO COLONY,13.3386987,75
INDRALI,13.3359396,74.7722134
INDRALI,13.3359396,74.7722134
INDRALI,13.3359396,74.7722134
INDRALI,13.3359396,74.7722134
INDRALI,13.3359396,74.7722134
INDRALI,13.3359396,74.7722134
INDRALI,13.3359396,74.7722134
INDRALI,13.3359396,74.7722134
INDRALI,13.3359396,74.7722134
INDRALI,13.3359396,74.7722134
INDRALI,13.3359396,74.7722134
INDRALI,13.3359396,74.7722134
INDRALI,13.3359396,74.7722134
INDRALI,13.3359396,74.7722134
INDRALI,13.3359396,74.7722134
INDRALI,13.3359396,74.7722134
INDRALI,13.3359396,74.7722134
INDRALI,13.3359396,74.7722134
INDRALI,13.3359396,74.7722134
INDRALI,13.3359396,74.7722134
INDRALI,13.3359396,74.7722134
JARKALA,13.2472173,75.0494329
JODUKATTE,13.2150997,74.9961799
KADEKAR,13.3291479,74.7212701
KADEKAR,13.3291479,74.7212701
KADIYALI,13.348061,74.7614898
KADIYALI,13.348061,74.7614898
KAKKUNJE,13.376143,74.756468
KAKKUNJE,13.376143,74.756468
PARKALA,13.353176,74.817392
KALAVARA,13.5970259,74.7483371
HIRIADKA,13.3512744,74.8653331
KALSANKA,13.3477207,74.7380961
KALSANKA,13.3477207,74.7380961
KAMALASHILE ,13.7277189,74.903339
KAMATH CIRCLE ,13.340445,74.753332
KANYANA,13.660994,74.731787
KARAVALLI JUNCTION,13.346482,74.736006
KARAVALLI JUNCTION,13.346482,74.736006
KARJE,13.4310054,74.8828754
KARKALA,13.2150997,74.9961799
KARKALA,13.2150997,74.9961799
KARKALA,13.2150997,74.9961799
KARKALA,13.2150997,74.9961799
KARKALA,13.2150997,74.9961799
KARKALA,13.2150997,74.9961799
KARKALA,13.2150997,74.9961799
KARKALA,13.2150997,74.9961799
KARKALA,13.2150997,74.9961799
KARKALA,13.2150997,74.9961799
KARKALA,13.2150997,74.9961799
KARKALA,13.2150997,74.9961799
KARKALA,13.2150997,74.9961799
KARKALA,13.2150997,74.9961799
KARKALA,13.2150997,74.9961799
KARKALA,13.2150997,74.9961799
KARKALA,13.2150997,74.9961799
KARKALA ,13.2150997,74.9961799
KARKUNJE,13.687523,74.786855
KATAPADI,13.284373,74.748361
KATAPADI,13.284373,74.748361
KATAPADI,13.284373,74.748361
KATAPADY,13.284373,74.748361
KATAPADY,13.284373,74.748361
KATAPADY,13.284373,74.748361
KATAPADY,13.284373,74.748361
KUNDAPUR,13.623777,74.691611
KAUP,13.231645,74.745683
KAUP,13.231645,74.745683
KAUP,13.231645,74.745683
KAUP,13.231645,74.745683
KAUP,13.231645,74.745683
KAUP,13.231645,74.745683
KAUP,13.231645,74.745683
KAUP,13.231645,74.745683
KAUP,13.231645,74.745683
KAUP,13.231645,74.745683
KAUP,13.231645,74.745683
KAUP,13.231645,74.745683
KAVRADY,13.651663,74.787273
KEMMANNU,13.399115,74.710241
KENJUR,13.453767,74.897141
KINNIMULKI,13.325072,74.73956
KIRIMANJESHWAR,13.774198,74.635985
KODANKOOR,13.36047,74.741987
KODAVOOR,13.344837,74.704324
KODAVOOR,13.344837,74.704324
KODI BENGRE,13.439711,74.693812
KODIKANYANA,13.499869,74.693812
KODIKANYANA,13.499869,74.693812
KOKKARNE,13.459773,74.838099
